date,channel,value,volume
2019-01-01,atm_cwd,39005700000.0,73800000.0
2019-02-01,atm_cwd,33054400000.0,65500000.0
2019-03-01,atm_cwd,37538800000.0,75000000.0
2019-04-01,atm_cwd,35725500000.0,73000000.0
2019-05-01,atm_cwd,38268600000.0,71600000.0
2019-06-01,atm_cwd,33167400000.0,64800000.0
2019-07-01,atm_cwd,34771700000.0,69300000.0
2019-08-01,atm_cwd,35467700000.0,70400000.0
2019-09-01,atm_cwd,33648100000.0,68900000.0
2019-10-01,atm_cwd,35630900000.0,72100000.0
2019-11-01,atm_cwd,33936100000.0,68800000.0
2019-12-01,atm_cwd,37566900000.0,72700000.0
2020-01-01,atm_cwd,38047700000.0,72500000.0
2020-02-01,atm_cwd,31659300000.0,65300000.0
2020-03-01,atm_cwd,27975600000.0,58700000.0
2020-04-01,atm_cwd,19258100000.0,40100000.0
2020-05-01,atm_cwd,29765400000.0,57900000.0
2020-06-01,atm_cwd,30886800000.0,61900000.0
2020-07-01,atm_cwd,35394500000.0,71000000.0
2020-08-01,atm_cwd,33313100000.0,69000000.0
2020-09-01,atm_cwd,32482100000.0,68100000.0
2020-10-01,atm_cwd,33611199999.999996,70000000.0
2020-11-01,atm_cwd,30799800000.0,64800000.0
2020-12-01,atm_cwd,34144900000.0,69500000.0
2021-01-01,atm_cwd,36996700000.0,71500000.0
2021-02-01,atm_cwd,32844300000.000004,65000000.0
2021-03-01,atm_cwd,38147500000.0,74300000.0
2021-04-01,atm_cwd,34696000000.0,69500000.0
2021-05-01,atm_cwd,34342900000.0,67000000.0
2021-06-01,atm_cwd,24172400000.0,50900000.0
2021-07-01,atm_cwd,26065200000.0,55100000.0
2021-08-01,atm_cwd,27010600000.0,56600000.0
2021-09-01,atm_cwd,30139300000.0,62800000.0
2021-10-01,atm_cwd,33818199999.999996,68700000.0
2021-11-01,atm_cwd,32574600000.0,67000000.0
2021-12-01,atm_cwd,35525200000.0,71400000.0
2022-01-01,atm_cwd,36949500000.0,71000000.0
2022-02-01,atm_cwd,26458100000.0,54800000.0
2022-03-01,atm_cwd,32514800000.0,65099999.99999999
2022-04-01,atm_cwd,42901000000.0,72300000.0
2022-05-01,atm_cwd,34814500000.0,64099999.99999999
2022-06-01,atm_cwd,33075600000.0,65800000.0
2022-07-01,atm_cwd,33341900000.0,67300000.0
2022-08-01,atm_cwd,32486500000.0,66200000.0
2022-09-01,atm_cwd,32314100000.0,67000000.0
2022-10-01,atm_cwd,32990300000.000004,67600000.0
2022-11-01,atm_cwd,31721600000.0,66900000.00000001
2022-12-01,atm_cwd,35167300000.0,70400000.0
2023-01-01,atm_cwd,35809300000.0,69600000.0
2023-02-01,atm_cwd,28986200000.0,59900000.0
2023-03-01,atm_cwd,33827400000.0,66700000.0
2023-04-01,atm_cwd,34928000000.0,66800000.0
2023-05-01,atm_cwd,31597600000.0,63600000.0
2023-06-01,atm_cwd,32500000000.0,66300000.0
2023-07-01,atm_cwd,32620200000.0,67600000.0
2023-08-01,atm_cwd,32873600000.0,67400000.0
2023-09-01,atm_cwd,32347200000.0,66000000.0
2023-10-01,atm_cwd,33192800000.000004,67700000.0
2023-11-01,atm_cwd,33169699999.999996,67800000.0
2023-12-01,atm_cwd,34573000000.0,68200000.0
2024-01-01,atm_cwd,34015500000.0,67700000.0
2024-02-01,atm_cwd,34251900000.0,64700000.0
2024-03-01,atm_cwd,34450300000.0,66800000.0
2024-04-01,atm_cwd,33358199999.999996,64200000.0
2024-05-01,atm_cwd,33712199999.999996,62700000.0
2024-06-01,atm_cwd,32244000000.0,63400000.0
2024-07-01,atm_cwd,32134800000.0,64099999.99999999
2024-08-01,atm_cwd,32458800000.0,65200000.0
2024-09-01,atm_cwd,31040500000.0,62000000.0
2024-10-01,atm_cwd,32324500000.0,63700000.0
2024-11-01,atm_cwd,30461500000.0,61900000.0
2024-12-01,atm_cwd,33099800000.000004,65099999.99999999
2025-01-01,atm_cwd,35938000000.0,65700000.0
2025-02-01,atm_cwd,28367900000.0,55100000.0
2025-03-01,atm_cwd,36913500000.0,67200000.0
2025-04-01,atm_cwd,27803300000.0,51800000.0
2025-05-01,atm_cwd,31447200000.0,59500000.0
2025-06-01,atm_cwd,30261900000.0,58100000.0
2025-07-01,atm_cwd,30239000000.0,58100000.0
2025-08-01,atm_cwd,30413600000.0,59900000.0
2025-09-01,atm_cwd,28503100000.0,54000000.0
2025-10-01,atm_cwd,30567700000.0,58200000.0
2025-11-01,atm_cwd,28599500000.0,53500000.0
2025-12-01,atm_cwd,30212700000.0,55100000.0
2026-01-01,atm_cwd,30571700000.0,56100000.0
2026-02-01,atm_cwd,29403000000.0,50400000.0
2026-03-01,atm_cwd,32180100000.0,56000000.0
2026-04-01,atm_cwd,26958100000.0,48500000.0
2026-05-01,atm_cwd,28362400000.0,51100000.0
2026-06-01,atm_cwd,26125100000.0,48100000.0
2019-01-01,atm_fin,6025200000.0,6300000.0
2019-02-01,atm_fin,6811500000.0,5600000.0
2019-03-01,atm_fin,7990700000.0,6700000.0
2019-04-01,atm_fin,6150900000.0,6500000.0
2019-05-01,atm_fin,6358200000.0,6700000.0
2019-06-01,atm_fin,5546400000.0,5800000.0
2019-07-01,atm_fin,7107300000.0,6600000.0
2019-08-01,atm_fin,5993500000.0,6500000.0
2019-09-01,atm_fin,5774800000.0,6200000.0
2019-10-01,atm_fin,5714700000.0,6200000.0
2019-11-01,atm_fin,5427300000.0,5800000.0
2019-12-01,atm_fin,5541700000.0,6000000.0
2020-01-01,atm_fin,5617600000.0,5700000.0
2020-02-01,atm_fin,5078200000.0,5400000.0
2020-03-01,atm_fin,4540300000.0,5000000.0
2020-04-01,atm_fin,3056500000.0,4000000.0
2020-05-01,atm_fin,3858700000.0,4700000.0
2020-06-01,atm_fin,4388300000.0,4700000.0
2020-07-01,atm_fin,5042900000.0,5100000.0
2020-08-01,atm_fin,4905500000.0,5000000.0
2020-09-01,atm_fin,4734700000.0,4900000.0
2020-10-01,atm_fin,5082900000.0,5200000.0
2020-11-01,atm_fin,4720600000.0,5100000.0
2020-12-01,atm_fin,4998200000.0,5000000.0
2021-01-01,atm_fin,5230700000.0,5400000.0
2021-02-01,atm_fin,4695700000.0,4900000.0
2021-03-01,atm_fin,5824300000.0,5300000.0
2021-04-01,atm_fin,5026100000.0,4900000.0
2021-05-01,atm_fin,4931800000.0,4900000.0
2021-06-01,atm_fin,4278300000.0,4200000.0
2021-07-01,atm_fin,4343000000.0,4500000.0
2021-08-01,atm_fin,4029200000.0,4200000.0
2021-09-01,atm_fin,4517800000.0,4200000.0
2021-10-01,atm_fin,5008900000.0,4500000.0
2021-11-01,atm_fin,4781500000.0,4200000.0
2021-12-01,atm_fin,5325100000.0,4900000.0
2022-01-01,atm_fin,5344900000.0,4400000.0
2022-02-01,atm_fin,4233899999.9999995,3700000.0
2022-03-01,atm_fin,5244800000.0,4300000.0
2022-04-01,atm_fin,5651500000.0,4500000.0
2022-05-01,atm_fin,5106100000.0,4200000.0
2022-06-01,atm_fin,5280700000.0,4099999.9999999995
2022-07-01,atm_fin,4966200000.0,4099999.9999999995
2022-08-01,atm_fin,5122500000.0,4099999.9999999995
2022-09-01,atm_fin,5057300000.0,4099999.9999999995
2022-10-01,atm_fin,4974100000.0,4099999.9999999995
2022-11-01,atm_fin,4949600000.0,4000000.0
2022-12-01,atm_fin,5518100000.0,4300000.0
2023-01-01,atm_fin,5431800000.0,4300000.0
2023-02-01,atm_fin,4854900000.0,3800000.0
2023-03-01,atm_fin,5485900000.0,4300000.0
2023-04-01,atm_fin,5054400000.0,4000000.0
2023-05-01,atm_fin,5504900000.0,4200000.0
2023-06-01,atm_fin,4982100000.0,4099999.9999999995
2023-07-01,atm_fin,5656500000.0,4400000.0
2023-08-01,atm_fin,5454900000.0,4300000.0
2023-09-01,atm_fin,5339900000.0,4200000.0
2023-10-01,atm_fin,5435200000.0,4400000.0
2023-11-01,atm_fin,5376000000.0,4300000.0
2023-12-01,atm_fin,5404500000.0,4200000.0
2024-01-01,atm_fin,5622000000.0,4300000.0
2024-02-01,atm_fin,4998700000.0,3900000.0
2024-03-01,atm_fin,5482500000.0,4200000.0
2024-04-01,atm_fin,5211300000.0,3900000.0
2024-05-01,atm_fin,5555100000.0,4099999.9999999995
2024-06-01,atm_fin,5307600000.0,3900000.0
2024-07-01,atm_fin,5810300000.0,4099999.9999999995
2024-08-01,atm_fin,5674200000.0,4000000.0
2024-09-01,atm_fin,5340600000.0,3900000.0
2024-10-01,atm_fin,5929800000.0,4000000.0
2024-11-01,atm_fin,5272600000.0,3800000.0
2024-12-01,atm_fin,5669200000.0,4000000.0
2025-01-01,atm_fin,6127200000.0,4000000.0
2025-02-01,atm_fin,5194400000.0,3500000.0
2025-03-01,atm_fin,5666500000.0,4099999.9999999995
2025-04-01,atm_fin,4887900000.0,3600000.0
2025-05-01,atm_fin,5248800000.0,3800000.0
2025-06-01,atm_fin,4970000000.0,3700000.0
2025-07-01,atm_fin,5008700000.0,3800000.0
2025-08-01,atm_fin,4744100000.0,3700000.0
2025-09-01,atm_fin,4749400000.0,3500000.0
2025-10-01,atm_fin,5199900000.0,3700000.0
2025-11-01,atm_fin,4869800000.0,3500000.0
2025-12-01,atm_fin,4965100000.0,3700000.0
2026-01-01,atm_fin,5229300000.0,3700000.0
2026-02-01,atm_fin,4464600000.0,3300000.0
2026-03-01,atm_fin,5201900000.0,3600000.0
2026-04-01,atm_fin,4627300000.0,3400000.0
2026-05-01,atm_fin,4822000000.0,3400000.0
2026-06-01,atm_fin,4610600000.0,3300000.0
2019-01-01,internet_corp,650863500000.0,23500000.0
2019-02-01,internet_corp,469773700000.0,20700000.0
2019-03-01,internet_corp,595510700000.0,23900000.0
2019-04-01,internet_corp,623082400000.0,24600000.0
2019-05-01,internet_corp,597820400000.0,27400000.0
2019-06-01,internet_corp,530693500000.0,23200000.0
2019-07-01,internet_corp,619132800000.0,27100000.0
2019-08-01,internet_corp,661281800000.0,26800000.0
2019-09-01,internet_corp,606495500000.0,26400000.0
2019-10-01,internet_corp,641053500000.0,28600000.0
2019-11-01,internet_corp,653350100000.0,29000000.0
2019-12-01,internet_corp,712047300000.0,30000000.0
2020-01-01,internet_corp,695670100000.0,28900000.0
2020-02-01,internet_corp,592644200000.0,28600000.0
2020-03-01,internet_corp,674574000000.0,28600000.0
2020-04-01,internet_corp,600502800000.0,27300000.0
2020-05-01,internet_corp,523392000000.0,30800000.0
2020-06-01,internet_corp,642942700000.0,30700000.0
2020-07-01,internet_corp,705620500000.0,33800000.0
2020-08-01,internet_corp,638332700000.0,31800000.0
2020-09-01,internet_corp,688832800000.0,34200000.0
